47|수원권선자이|경기 수원시 권선구 세권로 190|37.2553328840964|127.024934746746|136.0|5|0|1|69|41|6|1|11|15|0|95461563.0|31820521|381846254|1.0|0.0|0.0|18.0|13.0|0.0|0.0|3.0|3.0|0.0|62.7|2014-05-19|nan|영업|nan|9|38|26090000|2295|70487|5132|3420000|22699|3090000
48|수원세류|경기 수원시 권선구 세지로 61|37.2576345630923|127.016996982221|140.0|4|0|1|82|34|2|1|7|9|0|76770410.0|25590136|307081642|3.0|0.0|0.0|17.0|8.0|1.0|0.0|1.0|1.0|0.0|132.0|2020-08-06|nan|영업|nan|13|36|25260000|2087|61423|5545|3420000|18315|3090000
49|매탄3동|경기 수원시 영통구 매탄로 69|37.2573301510141|127.041567875551|142.0|11|1|0|44|28|2|1|13|28|0|70103310.0|23367770|280413241|4.0|0.0|0.0|16.0|9.0|1.0|0.0|5.0|11.0|0.0|121.32|2017-02-01|nan|영업|nan|12|37|24010000|1971|90611|2622|4300000|24881|3520000
50|용인고림|경기도 용인시 처인구 고림로 74 1층|37.2399466516839|127.214951334731|143.0|7|0|3|51|15|9|0|5|12|0|87366711.0|29122237|349466844|0.0|0.0|1.0|19.0|7.0|1.0|0.0|3.0|4.0|0.0|87.75|2005-09-22|nan|영업|nan|2|15|29520000|2042|45389|1273|3480000|9256|3030000
51|동탄목동|경기 화성시 동탄신리천로 411|37.1827010474692|127.12407640678|75.0|0|0|0|15|10|2|0|5|0|0|233302814.0|77767604|933211256|0.0|0.0|0.0|8.0|4.0|2.0|0.0|2.0|0.0|0.0|81.75|2022-08-11|nan|영업|nan|11|12|31740000|2435|21766|160|3660000|11633|4020000
52|동탄하나로클럽|경기도 화성시 동탄순환대로 27길 30|37.208177958728|127.105651750706|101.0|9|0|0|26|21|3|0|9|40|0|65940764.0|21980254|263763058|1.0|0.0|0.0|8.0|10.0|1.0|0.0|2.0|7.0|0.0|63.5|2013-02-28|nan|영업|nan|8|34|28330000|2424|53201|1004|4060000|11719|4450000
53|오산양산|경기도 오산시 양산동 669-6|37.1951914035258|127.030485463503|78.0|5|0|0|35|7|2|0|2|10|3|31148139.0|10382713|124592556|2.0|0.0|0.0|13.0|2.0|1.0|0.0|1.0|3.0|2.0|66.2|2011-06-02|2021-07-09|폐업|nan|3|6|25050000|2238|21023|343|3540000|6238|3240000
54|동탄샹보르줌타워|경기 화성시 동탄대로 700|37.2144046023878|127.102854475691|104.0|6|0|0|29|15|0|0|4|28|0|15023001.0|5007667|60092006|1.0|0.0|0.0|2.0|5.0|0.0|0.0|1.0|7.0|0.0|74.4|2007-09-05|nan|영업|nan|6|20|22170000|2002|22381|1154|4260000|8850|3790000
55|화성안녕|경기 화성시 용주로 21|37.2048078506872|127.014506992355|83.0|0|0|1|34|10|2|0|3|11|0|28737424.0|9579141|114949696|0.0|0.0|0.0|16.0|3.0|0.0|0.0|1.0|6.0|0.0|82.0|2015-10-26|nan|영업|nan|1|1|25520000|2272|37022|669|3480000|5039|3000000
56|동탄다은솔빛|경기 화성시 동탄반석로 134|37.2010631102177|127.071360796814|85.0|17|0|0|49|33|9|0|6|41|0|52653313.0|17551104|210613253|3.0|0.0|0.0|20.0|18.0|3.0|0.0|0.0|13.0|0.0|90.37|2014-11-27|nan|영업|nan|12|39|30370000|2672|248513|42403|3760000|21027|4180000
